name	address	deposit_time	deposit_asset0	deposit_asset1	deposit_amount0	deposit_amount1	deposit_value0	deposit_value1	deposit_value	reward_asset0	reward_asset1	reward_amount0	reward_amount1	reward_value0	reward_value1	reward_value	total_days	total_blocks	apr	type	deposit_link
swapx	0x4604782bcd6f749b271fc9d14bfd583be6e5a6cf	25/03/27 20:03:00	USDC.e	scUSD	4.84429	1.77322	4.84429	1.77322	6.61751	SWPx		0.0566783		0.0142773		0.0142773	12.75	2752267	6.18000	Swap pool	https://swapx.fi/earn?search=USDC.e/scUSD
magpie pendle	0x3f5ea53d1160177445b1898afbb16da111182418	25/03/27 09:03:00	aUSDC LP		0.0000000000152686		31.2209		31.2209	PENDLE		0.0100139		0.0288400		0.0288400	13.24	2869814	2.55000	Swap pool	https://www.pendle.magpiexyz.io/stake/0x3f5ea53d1160177445b1898afbb16da111182418
silo	0xe6605932e4a686534D19005BB9dB0FBA1F101272	25/03/31 20:03:00	scUSD		5.00007		5.00007		5.00007	scUSD		0.00602700		0.00602700		0.00602700	8.808	1861783	5.00000	Swap pool	https://v2.silo.finance/markets/sonic/ptausdc14aug-scusd-46?action=deposit
euler	0x196F3C7443E940911EE2Bb88e019Fd71400349D9	25/04/08 10:04:00	USDC.e		12.0000		12.0000		12.0000	USDC.e		0.00124100		0.00124100		0.00124100	1.217	262688	3.10000	Swap pool	https://app.euler.finance/vault/0x196F3C7443E940911EE2Bb88e019Fd71400349D9?network=sonic

