asset	address	deposit_time	deposit_asset_0	deposit_asset_1	deposit_amount_0	deposit_amount_1	deposit_value_0	deposit_value_1	deposit_value	reward_asset_0	reward_asset_1	reward_amount_0	reward_amount_1	reward_value_0	reward_value_1	reward_value	total_days	total_blocks	apr	type	link
wS/USDC.e	0x324963c267c354c7660ce8ca3f5f167e05649970	25/03/23 18:03:00	wS	USDC.e	7.48617	4.56053	4.61073	4.56053	9.17126	SHADOW	xSHADOW	0.0000000000385482	0.00442671	0.00000000359771	0.206572	0.206572	3.825	871110	214.9	Liquidity	https://vfat.io/token?chainId=146&tokenAddress=0x324963c267c354c7660ce8ca3f5f167e05649970
USDC.e/USDT	0x9053fe060f412ad5677f934f89e07524343ee8e7	25/03/27 14:03:00	USDC.e	USDT	19.0314	9.12236	19.0314	9.12236	28.1538	SHADOW	xSHADOW	0.000000	0.000000378321	0.000000	0.0000176543	0.0000176543	0.01213	2981	1.890	Liquidity	https://vfat.io/token?chainId=146&tokenAddress=0x9053fe060f412ad5677f934f89e07524343ee8e7
