asset	address	deposit_time	deposit_asset_0	deposit_asset_1	deposit_amount_0	deposit_amount_1	deposit_value_0	deposit_value_1	deposit_value	reward_asset_0	reward_asset_1	reward_amount_0	reward_amount_1	reward_value_0	reward_value_1	reward_value	total_days	total_blocks	apr	type	link
USDC.e/scUSD	0x4604782bcd6f749b271fc9d14bfd583be6e5a6cf	25/03/27 20:03:00	USDC.e	scUSD	2.38851	4.23456	2.38851	4.23456	6.62307	SWPx		0.00299033		0.000881550		0.000881550	0.8079	16598874	6.010	Liquidity	https://vfat.io/token?chainId=146&tokenAddress=0x4604782bcd6f749b271fc9d14bfd583be6e5a6cf
wS/USDC.e	0x324963c267c354c7660ce8ca3f5f167e05649970	25/03/23 18:03:00	wS	USDC.e	7.48617	4.56053	4.61073	4.56053	9.17126	SHADOW	xSHADOW	0.0000000000385482	0.00521570	0.00000000359771	0.486781	0.486781	4.890	1115984	396.2	Liquidity	https://vfat.io/token?chainId=146&tokenAddress=0x324963c267c354c7660ce8ca3f5f167e05649970
USDC.e/USDT	0x9053fe060f412ad5677f934f89e07524343ee8e7	25/03/27 14:03:00	USDC.e	USDT	19.0314	9.12236	19.0314	9.12236	28.1538	SHADOW	xSHADOW	0.000000	0.0000297486	0.000000	0.00277644	0.00277644	1.077	247856	3.340	Liquidity	https://vfat.io/token?chainId=146&tokenAddress=0x9053fe060f412ad5677f934f89e07524343ee8e7
USDC.e/scUSD	0x2c13383855377faf5a562f1aef47e4be7a0f12ac	25/03/28 12:03:00	USDC.e	scUSD	6.00000	4.83394	6.00000	4.83394	10.8339	SHADOW	xSHADOW	0.000000	0.00000576501	0.000000	0.000538048	0.000538048	0.1636	39683	11.08	Liquidity	https://vfat.io/token?chainId=146&tokenAddress=0x2c13383855377faf5a562f1aef47e4be7a0f12ac
