name	address	deposit_time	deposit_asset0	deposit_asset1	deposit_amount0	deposit_amount1	deposit_value0	deposit_value1	deposit_value	reward_asset0	reward_asset1	reward_amount0	reward_amount1	reward_value0	reward_value1	reward_value	total_days	total_blocks	apr	type	deposit_link
magpie pendle	0x3f5ea53d1160177445b1898afbb16da111182418	25/05/07 22:05:00	aUSDC LP		0.0000000976188		199609		199609	PENDLE		8.10125		30.7847		30.7847	4.867	1211636	1.16000	Swap pool	https://www.pendle.magpiexyz.io/stake/0x3f5ea53d1160177445b1898afbb16da111182418
MEV USDC.e	0x196F3C7443E940911EE2Bb88e019Fd71400349D9	25/05/07 22:05:00	USDC.e		200000		200000		200000	USDC.e	wS	89.0491	0.000000	89.0491	0.000000	89.0491	4.862	1210599	3.34000	Swap pool	https://app.euler.finance/vault/0x196F3C7443E940911EE2Bb88e019Fd71400349D9?network=sonic
Re7 USDC.e	0x3D9e5462A940684073EED7e4a13d19AE0Dcd13bc	25/05/07 22:05:00	USDC.e		100000		100000		100000	USDC.e	wS	10.0896	0.000000	10.0896	0.000000	10.0896	4.860	1209977	0.760000	Swap pool	https://app.euler.finance/vault/0x3D9e5462A940684073EED7e4a13d19AE0Dcd13bc?network=sonic
beefy	0x0f61600BAE509820207827b7e3d108ceeeB23C48	25/05/07 22:05:00	IV-SWAPX-42-frxUSD-scUSD		100000		100000		100000	IV-SWAPX-42-frxUSD-scUSD		147.3		147.3		147.3	4.852	1208051	11.08	Vault	https://app.beefy.com/vault/swapx-ichi-frxusd-scusd
