
      name	address	deposit_time	deposit_asset0	deposit_asset1	deposit_amount0	deposit_amount1	deposit_value0	deposit_value1	deposit_value	reward_asset0	reward_asset1	reward_amount0	reward_amount1	reward_value0	reward_value1	reward_value	total_days	total_blocks	apr	type	deposit_link
shadow	0x9053fe060f412ad5677f934f89e07524343ee8e7	25/03/17 19:03:00	USDC.e	USDT	10.00000	4.78420	10.00000	4.78420	14.7842	SHADOW	xSHADOW	0.000000	0.000402273	0.000000	0.0111611	0.0111611	15.79	3400407	1.75000	Swap pool	https://www.shadow.so/liquidity/0x9053fe060f412ad5677f934f89e07524343ee8e7
shadow	0x9053fe060f412ad5677f934f89e07524343ee8e7	25/03/22 00:03:00	USDC.e	USDT	4.99991	0.0548520	4.99991	0.0548520	5.05476	SHADOW	xSHADOW	0.000000	0.0000203740	0.000000	0.000565278	0.000565278	11.56	2567378	0.350000	Swap pool	https://www.shadow.so/liquidity/0x9053fe060f412ad5677f934f89e07524343ee8e7
shadow	0x9053fe060f412ad5677f934f89e07524343ee8e7	25/03/22 19:03:00	USDC.e	USDT	0.000000	5.00000	0.000000	5.00000	5.00000	SHADOW	xSHADOW	0.000000	0.0000726307	0.000000	0.00201514	0.00201514	10.77	2413442	1.37000	Swap pool	https://www.shadow.so/liquidity/0x9053fe060f412ad5677f934f89e07524343ee8e7
swapx	0x640429b0633851f487639bcdd8ed523ddf1bbff8	25/03/17 19:03:00	USDC.e	scUSD	3.06256	6.93671	3.06256	6.93671	9.99927	SWPx		0.0995617		0.0250796		0.0250796	15.79	3399446	5.80000	Swap pool	https://swapx.fi/earn?search=USDC.e/scUSD

      time	type	amount	value	total_sonic_value	total_usd_value
25/03/17 19:03:00	depositAll		0.000000	12.9318	6.37926
25/03/17 19:03:00	approve		0.000000	12.9436	6.38508
25/03/17 19:03:00	deposit	10000000	0.000000	12.9459	6.38622
25/03/17 19:03:00	approve		0.000000	12.9928	6.40937
25/03/17 19:03:00	mint		0.000000	12.9956	6.41074
25/03/17 19:03:00	approve		0.000000	13.0194	6.42249
25/03/17 19:03:00	approve		0.000000	13.0221	6.42381
25/03/17 19:03:00	mintAsCollateral		0.000000	13.0249	6.42519
25/03/17 19:03:00	approve		0.000000	13.0372	6.43127
25/03/17 19:03:00	approve		0.000000	13.0396	6.43242
25/03/17 19:03:00	supply		0.000000	13.0423	6.43379
25/03/17 19:03:00	approve		0.000000	13.0534	6.43925
25/03/17 19:03:00	supply		0.000000	13.0562	6.44062
25/03/17 19:03:00	approve		0.000000	13.0673	6.44612
25/03/17 19:03:00	batch		0.000000	13.0702	6.44752
25/03/17 19:03:00	approve		0.000000	13.0989	6.46168
25/03/17 19:03:00	swapCompact		0.000000	13.1012	6.46283
25/03/17 19:03:00	execute		0.000000	13.1180	6.47112
25/03/17 18:03:00	approve		0.000000	13.1348	6.47938
25/03/17 18:03:00	swapCompact		0.000000	13.1376	6.48077
25/03/17 18:03:00	approve		0.000000	13.1486	6.48620
25/03/06 23:03:00	executeOrder		0.000000	13.1513	6.48752
25/03/06 23:03:00	executeOrder		0.000000	13.1929	6.50806
25/03/06 23:03:00	executeOrder		0.000000	13.2401	6.53136
25/03/06 23:03:00	executeOrder		0.000000	13.2837	6.55283
25/03/06 23:03:00	executeOrder		0.000000	13.3540	6.58751
25/03/04 19:03:00	executeOrder		0.000000	13.3996	6.61002
25/03/04 19:03:00	executeOrder		0.000000	13.4487	6.63424
25/03/04 19:03:00	approve		0.000000	13.4976	6.65838
25/03/03 20:03:00	deposit		0.000000	13.5004	6.65973
25/03/03 20:03:00	approve		0.000000	13.6147	6.71614
25/03/03 20:03:00	setNftSettings		0.000000	13.6177	6.71759
25/03/03 20:03:00	setApproved		0.000000	13.6237	6.72059
25/03/03 20:03:00	deposit		0.000000	13.6265	6.72194
25/03/03 20:03:00	approve		0.000000	13.7383	6.77712
25/03/03 20:03:00	deposit		0.000000	13.7413	6.77857
25/03/03 20:03:00	approve		0.000000	13.8301	6.82239
25/03/03 20:03:00	deploy		0.000000	13.8330	6.82384
25/03/03 04:03:00			13.8408	13.8408	6.82768
    
