asset	address	price	balance	value	type
USDC.e	0x29219dd400f2bf60e5a23d13be72b486d4038894	$1	0.000001	$0.000001	ERC20
wS	0x039e2fb66102314ce7b64ce5ce3e5183bc94ad38	$0.488884	56.213609	$27.481934	ERC20
scUSD	0xd3DCe716f3eF535C5Ff8d041c1A41C3bd89b97aE	$0.99963	9.540546	$9.537016	ERC20
USDT	0x6047828dc181963ba44974801ff68e538da5eaf9	$0.999465	45.219872	$45.195679	ERC20
frxUSD	0x80eede496655fb9047dd39d9f418d5483ed600df	$0.998659	10.028054	$10.014606	ERC20
WETH	0x50c42deacd8fc9773493ed674b675be577f2634b	$1948.79	0.000001	$0.001949	ERC20
SWPx	0xA04BC7140c26fc9BB1F36B1A604C7A5a88fb0E70	$0.254344	0.031959	$0.008129	Pending Reward (SwapX USDC.e/scUSD)
