asset	address	deposit_time	deposit_asset_0	deposit_asset_1	deposit_amount_0	deposit_amount_1	deposit_value_0	deposit_value_1	deposit_value	reward_asset_0	reward_asset_1	reward_amount_0	reward_amount_1	reward_value_0	reward_value_1	reward_value	total_days	total_blocks	apr	type	link
wS/USDC.e	0x324963c267c354c7660ce8ca3f5f167e05649970	25/03/15 12:03:00	wS	USDC.e	7.99999	4.00947	4.92719	4.00947	8.93667	SHADOW	xSHADOW	0.000000337503	0.00869165	0.0000314992	0.405596	0.405628	11.24	2280147	147.4	Liquidity	https://vfat.io/token?chainId=146&tokenAddress=0x324963c267c354c7660ce8ca3f5f167e05649970
wS/USDC.e	0x324963c267c354c7660ce8ca3f5f167e05649970	25/03/23 18:03:00	wS	USDC.e	7.48617	4.56053	4.61073	4.56053	9.17126	SHADOW	xSHADOW	0.0000000000143334	0.00159177	0.00000000133774	0.0742801	0.0742801	2.956	659712	100.0	Liquidity	https://vfat.io/token?chainId=146&tokenAddress=0x324963c267c354c7660ce8ca3f5f167e05649970
USDC.e/scUSD	0x2c13383855377faf5a562f1aef47e4be7a0f12ac	25/03/25 10:03:00	USDC.e	scUSD	19.2935	10.0000	19.2935	10.0000	29.2935	SHADOW	xSHADOW	0.000000	0.000105609	0.000000	0.00492826	0.00492826	1.295	295120	4.740	Liquidity	https://vfat.io/token?chainId=146&tokenAddress=0x2c13383855377faf5a562f1aef47e4be7a0f12ac
