id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	in_range_swaps	price_lower	price_upper	price_range	price_mid	wallet
73249	1	3	2	310.622368	90.81318	401.424413	0	401.435548	0.18931680247005334	1.41	17.21	98%	99%	1.2001	1.2003	0.0002	1.2002	0x356d01b5c7ca3509a023ba4f2f1beb887a85df24
191936	5	6	1	342600.275797	260422.275674	488209.425839	114737.937731	603022.551471	563.8281452908394	1.40	17.06	85%	89%	1.2005	1.2006	0.0001	1.2006	0x664d8f8f2417f52cbbf5bd82ba82eefc58a87f07
101047	1	2	1	65283.545968	100006.564551	165277.086165	0	165290.110519	154.73206458343526	1.40	17.08	100%	100%	1.2001	1.2002	0.0001	1.2002	0x897a7f6af47881c62d7ca7e3dc5bd8a1341ad8ae
81851	-2	-1	1	150010.249913	93260.203913	243287.318763	0	243270.453826	113.7611290539463	1.40	17.07	82%	84%	0.9998	0.9999	0.0001	0.9999	0x37a9a5cc504c42d2ace5c8300f21602db57691d5
101055	1	2	1	24453.343188	36402.101844	60850.716687	0	60855.445031999996	56.841807806483594	1.40	17.05	94%	87%	1.2001	1.2002	0.0001	1.2002	0xb21f69a8eba1475c96c09e8c62842dcc16f0d441
67537	4	5	1	24453.447972	26612.192386	0	51077.15602	51065.640358000004	23.817150737072087	1.40	17.02	100%	100%	1.2004	1.2005	0.0001	1.2005	0x4deb56a42fc63650b2f0bfb9abe1850e3a091371
183829	1	2	1	9205.598195	540	0	9747.004572	9745.598195	4.562933703708437	1.40	17.09	82%	58%	1.2001	1.2002	0.0001	1.2002	0x7f80e4f856f2fd93433de3c6aedc5d30f925a115
151731	9	10	1	8003.992413	162.161889	8166.008268	0	8166.154302	3.8069104649069407	1.40	17.02	73%	72%	1.2009	1.2010	0.0001	1.2010	0xdf98f0e1fe7f717c579d605aad7908f634578a5d
151737	9	10	1	3705.54994	75.074906	3780.557237	0	3780.6248459999997	1.7608881604140256	1.40	17.00	74%	73%	1.2009	1.2010	0.0001	1.2010	0x39d27f1157b6fd3a711263788431c036442d760b
44645	-5	-3	2	812.857088	172.060762	0	984.606986	984.91785	0.46062824658601903	1.40	17.07	100%	100%	0.9995	0.9997	0.0002	0.9996	0xb577517fb7a0a174551d6933c7ff2f0eea3004b6
196521	5	6	1	157.849776	623.299491	780.81286	0	781.149267	0.3632859550163795	1.40	16.97	81%	85%	1.2005	1.2006	0.0001	1.2006	0xb177da4ec6b12dd4ff75b60b5aae55394ed35245
80069	0	1	1	15980.941657	13499.203819	29479.835804	0	29480.145475999998	13.66841506959738	1.39	16.92	41%	33%	1.2000	1.2001	0.0001	1.2000	0xedeed75328937a17749c1a59772e2ec79eb51314
68271	4	6	2	12495.597783	11590.989311	24081.394481	0	24086.587094	11.173048847913067	1.39	16.93	61%	48%	1.2004	1.2006	0.0002	1.2005	0xfef45b3e915f953ce386dc1db9a18b7680a9ee72
144406	11	12	1	2630.041663	10383.279009	12688.146672	313.66295	13013.320672	6.008802705266818	1.39	16.85	94%	96%	1.2011	1.2012	0.0001	1.2012	0xd7e20a009c543eb011774762dc3dd084e17883ff
144388	11	12	1	245.064466	3731.995804	2655.631302	1318.622798	3977.06027	1.8413102406215065	1.39	16.90	100%	100%	1.2011	1.2012	0.0001	1.2012	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13
100858	1	2	1	141520.011319	298784.026975	440264.020663	0	440304.03829399997	403.9868886464811	1.38	16.74	95%	93%	1.2001	1.2002	0.0001	1.2002	0x664d8f8f2417f52cbbf5bd82ba82eefc58a87f07
163555	1	2	1	146575.737549	35341.535697	0	181940.683932	181917.273246	83.54347199888419	1.38	16.76	100%	100%	1.2001	1.2002	0.0001	1.2002	0x897a7f6af47881c62d7ca7e3dc5bd8a1341ad8ae
169615	2	3	1	14332.573988	66801.423037	81117.889579	0	81133.997025	74.55198432835238	1.38	16.77	94%	89%	1.2002	1.2003	0.0001	1.2003	0x30b3d95e24ea00f5fb4b9bdf4f714159d9d793c2
66838	3	4	1	5309.497027	29681.576599	0	34993.157433	34991.073626	16.148076614446264	1.38	16.84	100%	100%	1.2003	1.2004	0.0001	1.2004	0x7e9c187b0369c5d3e9e1eca56999b45a7c7ac062
113767	-3	-2	1	17283.492846	16000.982332	0	33280.570432	33284.475178	15.25953501361016	1.38	16.73	100%	100%	0.9997	0.9998	0.0001	0.9998	0xe10c1c23d1ca5338810aeeee847f8f8ee9250100
38864	-2	-1	1	20394.402367	674.799728	21069.33598	0	21069.202095	9.71840415020854	1.38	16.84	67%	81%	0.9998	0.9999	0.0001	0.9999	0x3c948a11c4d5462ace49a505ece7112531b16725
45097	-4	-3	1	2317.1751	6592.683046	0	8909.133019	8909.858146	4.0936346161923955	1.38	16.77	100%	100%	0.9996	0.9997	0.0001	0.9997	0x23777a214af90185fa59fe692daff609dd02ab90
99723	5	6	1	6594.209299	17.179173	6611.379882	0	6611.388472000001	3.0512549183407875	1.38	16.85	0%	75%	1.2005	1.2006	0.0001	1.2006	0xf87e0a571bfc9fa98bc44442e0084fcbfdc7af39
44093	-6	-1	5	213.766372	57.031639	69.701956	201.04396	270.798011	0.24864883965513374	1.38	16.76	100%	100%	0.9994	0.9999	0.0005	0.9997	0x4533e03d983fae04741131c5f7cb35f1b32a1acd
41436	-3	-2	1	5.440525	0.533634	0	5.972823	5.974159	0.05753332185455622	1.38	16.74	34%	19%	0.9997	0.9998	0.0001	0.9998	0xb4f5818ab4a92d2d740ee47afcf1f5b448b4a1d7
169611	2	3	1	28403.493766	132350.750253	160722.331275	0	160754.244019	147.35783075430768	1.37	16.73	94%	89%	1.2002	1.2003	0.0001	1.2003	0xbefe67542bab11de3ca315163a93afb116bfb119
192413	5	6	1	40978.775795	30705.299711	71668.070415	0	71684.075506	65.6123565907435	1.37	16.70	95%	93%	1.2005	1.2006	0.0001	1.2006	0x8985d5c3465d07321e981f3289eae1789ee13c79
113782	-3	-2	1	51294.585017	45983.566453	0	97266.54223	97278.15147	44.31197301579184	1.37	16.63	100%	100%	0.9997	0.9998	0.0001	0.9998	0x51ba05662a3b00731d451014540049b08a4e9ea5
81883	-2	-1	1	39532.758211	18492.082225	58028.244296	0	58024.840436	26.44583405287016	1.37	16.64	100%	100%	0.9998	0.9999	0.0001	0.9999	0x3c948a11c4d5462ace49a505ece7112531b16725
67543	4	5	1	5544.693348	33903.71524	0	39451.142489	39448.408588	18.00542316672709	1.37	16.66	100%	100%	1.2004	1.2005	0.0001	1.2005	0xedeed75328937a17749c1a59772e2ec79eb51314
196652	5	6	1	3931.385717	15887.146837	19809.955015	0	19818.532554	9.082693884087348	1.37	16.73	76%	83%	1.2005	1.2006	0.0001	1.2006	0x703f9a9b08527ebdf4f44533c72b66f01d062665
135464	12	13	1	4993.297842	3685.3943	8674.194446	0	8678.692142	3.9537102827297956	1.37	16.63	100%	98%	1.2012	1.2013	0.0001	1.2013	0xeb3076445fd8f8ac208516879382114282cb30cd
183859	1	2	1	6904.293583	405.005569	0	7310.353949	7309.299152	3.3498620618568116	1.37	16.73	100%	95%	1.2001	1.2002	0.0001	1.2002	0x97373ce191e8520c6653e58ebb600ac45d24d30e
163579	1	2	1	98.739083	23.77564	0	122.530491	122.51472299999999	0.055871010415253164	1.37	16.65	100%	100%	1.2001	1.2002	0.0001	1.2002	0x55ea3a3e91457591878ea48c87e12c9ff91e69de
134455	12	13	1	664182.046335	2040005.424202	2610334.708512	91440.711728	2704187.470537	1224.3247819818178	1.36	16.53	99%	97%	1.2012	1.2013	0.0001	1.2013	0x60201f7c0774cba96e1db1a915ae1748da3faf12
110067	-1	0	1	64967.476449	259272.637226	324255.506875	0	324240.113675	146.91070084909103	1.36	16.54	87%	83%	0.9999	1.2000	0.0001	1.2000	0x5ac37964ebcbc68efb51497031ccc355a137dcc5
81894	-2	-1	1	130982.08267	60667.410142	191660.666433	0	191649.492812	86.81568491800488	1.36	16.53	100%	99%	0.9998	0.9999	0.0001	0.9999	0xdb0e979228649de327d698b02c47e065c0a0af50
101152	1	2	1	44771.002766	48524.598005	93289.48717	0	93295.600771	84.78670556012962	1.36	16.59	96%	87%	1.2001	1.2002	0.0001	1.2002	0xdcf23cbeb9d23c487b2c862415444c46c9a4bf11
169781	2	3	1	6899.583423	31964.041181	38855.918703	0	38863.624604	35.225653353927044	1.36	16.54	100%	97%	1.2002	1.2003	0.0001	1.2003	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13
57659	-3	-2	1	2294.783021	6379.999999	8676.462528	0	8674.783019999999	19.664160020168556	1.36	16.55	49%	37%	0.9997	0.9998	0.0001	0.9998	0x0a170cdb6eb5a46c15cffd727c8659f2f371f478
192477	5	6	1	4847.442643	3988.710509	8834.069445	0	8836.153152	8.024563958301378	1.36	16.57	100%	98%	1.2005	1.2006	0.0001	1.2006	0x323273736dc92520021578be759fe87fbee788aa
135473	12	13	1	6953.112365	5171.741716	12118.541942	0	12124.854081000001	5.515145024938814	1.36	16.60	100%	98%	1.2012	1.2013	0.0001	1.2013	0xeb3076445fd8f8ac208516879382114282cb30cd
73485	1	3	2	248.895049	59.340249	308.228222	0	308.235298	0.13952062446916605	1.36	16.52	98%	92%	1.2001	1.2003	0.0002	1.2002	0x37932819b5c6310771ab77bfe01efc064654308f
151439	9	10	1	347402.771586	11562.052553	358954.383716	0	358964.824139	161.60985533277596	1.35	16.43	77%	75%	1.2009	1.2010	0.0001	1.2010	0x1cb1b274d14df952458f0d6d3f761be3a5b2a2ec
67548	4	5	1	29269.738531	260968.602225	0	290252.828062	290238.340756	130.33782639015217	1.35	16.39	100%	100%	1.2004	1.2005	0.0001	1.2005	0x5ac37964ebcbc68efb51497031ccc355a137dcc5
101178	1	2	1	15856.733661	17550.055005	33404.572952	0	33406.788666	30.118427140149162	1.35	16.45	92%	87%	1.2001	1.2002	0.0001	1.2002	0xe10c1c23d1ca5338810aeeee847f8f8ee9250100
81903	-2	-1	1	23898.744193	11073.589369	34974.37303	0	34972.333562	15.7267862213596	1.35	16.41	100%	99%	0.9998	0.9999	0.0001	0.9999	0x7e9c187b0369c5d3e9e1eca56999b45a7c7ac062
